"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Abbreviata antarctica","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","all missing"
"Abbreviata antarctica","nematode",2,2,2,1,"no","1larv","int","no",1.6,NA,NA,"1st","all missing"
"Abbreviata antarctica","nematode",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","all missing"
"Abbreviata caucasica","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Abbreviata caucasica","nematode",2,2,2,1,"no","1larv","int","no",2.225,0.12,0.0307684639249472,"1st","incomplete"
"Abbreviata caucasica","nematode",2,2,2,2,"no","adult","def","no",35.75,2.5,233.165079758617,"2nd","incomplete"
"Abbreviata kazachstanica","nematode",2,3,2.5,0,NA,"embryo",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Abbreviata kazachstanica","nematode",2,3,2.5,1,"no","1larv","int","yes",6.7125,0.175,0.161454545886539,"1st","incomplete"
"Abbreviata kazachstanica","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Abbreviata kazachstanica","nematode",2,3,2.5,3,"no","adult","def","yes",11.4,0.35,1.09680853518454,"3rd","incomplete"
"Abbreviata turkomanica","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","all missing"
"Abbreviata turkomanica","nematode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","all missing"
"Abbreviata turkomanica","nematode",2,2,2,2,"no","adult","def","no",22.24,NA,NA,"2nd","all missing"
"Acanthobothrium brevissime","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","all missing"
"Acanthobothrium brevissime","cestode",2,2,2,1,"no","1larv","int","no",0.655,NA,NA,"1st","all missing"
"Acanthobothrium brevissime","cestode",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","all missing"
"Acanthobothrium olseni","cestode",3,3,3,0,NA,"embryo",NA,"no",0.015,0.012,9.42477796076938e-05,"propagule","incomplete"
"Acanthobothrium olseni","cestode",3,3,3,1,"no","1larv","int","no",0.21,0.14,0.01539380400259,"1st","incomplete"
"Acanthobothrium olseni","cestode",3,3,3,2,"no","2larv","int","no",NA,NA,NA,"2nd","incomplete"
"Acanthobothrium olseni","cestode",3,3,3,3,"no","adult","def","no",4.38,0.183,0.80154,"3rd","incomplete"
"Acanthocephalus anguillae","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthocephalus anguillae","acanthocephalan",2,2,2,1,"no","1larv","int","no",4.8033,0.5025,1.10860239307412,"1st","incomplete"
"Acanthocephalus anguillae","acanthocephalan",2,2,2,2,"no","adult","def","no",16,NA,NA,"2nd","incomplete"
"Acanthocephalus anthuris","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthocephalus anthuris","acanthocephalan",2,2,2,1,"no","1larv","int","no",2.4175,0.505,0.483698258153065,"1st","incomplete"
"Acanthocephalus anthuris","acanthocephalan",2,2,2,2,"no","adult","def","no",8,0.85,4.53960138443725,"2nd","incomplete"
"Acanthocephalus clavula","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.044,0.008,0.000184306769010601,"propagule","complete"
"Acanthocephalus clavula","acanthocephalan",2,2,2,1,"no","1larv","int","no",8.9,0.635,2.81856035247983,"1st","complete"
"Acanthocephalus clavula","acanthocephalan",2,2,2,2,"no","adult","def","no",31,2.5,152.170894158256,"2nd","complete"
"Acanthocephalus dirus","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.055,0.015,0.000431968989868597,"propagule","complete"
"Acanthocephalus dirus","acanthocephalan",2,2,2,1,"no","1larv","int","no",5.888,0.69875,2.41170252502541,"1st","complete"
"Acanthocephalus dirus","acanthocephalan",2,2,2,2,"no","adult","def","no",8.11988991075,0.6629110925,2.86434694620949,"2nd","complete"
"Acanthocephalus galaxii","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.027,0.007,9.89601685880785e-05,"propagule","incomplete"
"Acanthocephalus galaxii","acanthocephalan",2,2,2,1,"no","1larv","int","no",1.1,0.42,0.152398659625641,"1st","incomplete"
"Acanthocephalus galaxii","acanthocephalan",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","incomplete"
"Acanthocephalus lucii","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthocephalus lucii","acanthocephalan",2,2,2,1,"no","1larv","int","no",5.1885587126,0.422438513666667,0.618248593628355,"1st","incomplete"
"Acanthocephalus lucii","acanthocephalan",2,2,2,2,"no","adult","def","no",13.2966666666667,1.2,14.1371669411541,"2nd","incomplete"
"Acanthocephalus ranae","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthocephalus ranae","acanthocephalan",2,2,2,1,"no","1larv","int","no",3.5365,0.62,1.06769429650629,"1st","incomplete"
"Acanthocephalus ranae","acanthocephalan",2,2,2,2,"no","adult","def","no",23.07145299,1.1215384615,14.6298613681783,"2nd","incomplete"
"Acanthocephalus rhinensis","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.047,0.009,0.00022148228207808,"propagule","complete"
"Acanthocephalus rhinensis","acanthocephalan",2,2,2,1,"no","1larv","int","no",2.75,0.7,1.11840698467797,"1st","complete"
"Acanthocephalus rhinensis","acanthocephalan",2,2,2,2,"no","adult","def","no",9.915,1.03,9.54463286209648,"2nd","complete"
"Acanthocephalus sp.","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthocephalus sp.","acanthocephalan",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Acanthocephalus sp.","acanthocephalan",2,2,2,2,"no","adult","def","no",7.6,0.9,4.83491109387469,"2nd","incomplete"
"Acanthocephalus tumescens","acanthocephalan",2,3,2.5,0,NA,"embryo",NA,"yes",0.056,0.015,0.000439822971502571,"propagule","incomplete"
"Acanthocephalus tumescens","acanthocephalan",2,3,2.5,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Acanthocephalus tumescens","acanthocephalan",2,3,2.5,2,"no","adult","def","yes",4.14833333333333,0.775,1.84446340809222,"2nd","incomplete"
"Acanthocirrus retrirostris","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthocirrus retrirostris","cestode",2,2,2,1,"no","1larv","int","no",0.47,0.4,0.0984365698124802,"1st","incomplete"
"Acanthocirrus retrirostris","cestode",2,2,2,2,"no","adult","def","no",20,0.7,14,"2nd","incomplete"
"Acanthogyrus (Acanthosentis) lizae","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthogyrus (Acanthosentis) lizae","acanthocephalan",2,2,2,1,"no","1larv","int","no",0.59,0.091,0.00383729049274562,"1st","incomplete"
"Acanthogyrus (Acanthosentis) lizae","acanthocephalan",2,2,2,2,"no","adult","def","no",42.65,1.12,42.0189274054696,"2nd","incomplete"
"Acanthosentis dattai","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acanthosentis dattai","acanthocephalan",2,2,2,1,"no","1larv","int","no",0.53,0.070666667,0.0020787150840038,"1st","incomplete"
"Acanthosentis dattai","acanthocephalan",2,2,2,2,"no","adult","def","no",5.565,0.67,1.96202553583082,"2nd","incomplete"
"Acuaria anthuris","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acuaria anthuris","nematode",2,2,2,1,"no","1larv","int","no",0.68,0.043,0.00098749681880288,"1st","incomplete"
"Acuaria depressa","nematode",2,2,2,0,NA,"embryo",NA,"no",0.26,NA,NA,"propagule","incomplete"
"Acuaria depressa","nematode",2,2,2,1,"no","1larv","int","no",1.15,NA,NA,"1st","incomplete"
"Acuaria depressa","nematode",2,2,2,2,"no","adult","def","no",19.1,0.462,3.20189583873471,"2nd","incomplete"
"Acuaria gruveli","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acuaria gruveli","nematode",2,2,2,1,"no","1larv","int","no",0.575,0.037,0.000618245799272386,"1st","incomplete"
"Acuaria gruveli","nematode",2,2,2,2,"no","adult","def","no",29,0.22,1.10238486214466,"2nd","incomplete"
"Acuaria hamulosa","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acuaria hamulosa","nematode",2,2,2,1,"no","1larv","int","no",0.6985,0.0478,0.00125372563756809,"1st","incomplete"
"Acuaria hamulosa","nematode",2,2,2,2,"no","adult","def","no",16.4891666666667,0.480625,3.58796891373667,"2nd","incomplete"
"Acuaria subula","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Acuaria subula","nematode",2,2,2,1,"no","1larv","int","no",0.7,0.0155,0.000132084336129366,"1st","incomplete"
"Acuaria subula","nematode",2,2,2,2,"no","adult","def","no",15.1928571428571,0.2465,0.71325675167795,"2nd","incomplete"
"Aelurostrongylus abstrusus","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.3847,0.0186666666666667,0.000105273650629411,"propagule","incomplete"
"Aelurostrongylus abstrusus","nematode",2,3,2.5,1,"no","1larv","int","yes",0.547575,0.0270955556,0.000306179095603776,"1st","incomplete"
"Aelurostrongylus abstrusus","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Aelurostrongylus abstrusus","nematode",2,3,2.5,3,"no","adult","def","yes",9.75,0.09,0.0621564106512741,"3rd","incomplete"
"Aelurostrongylus falciformis","nematode",2,2,2,0,NA,"free larva",NA,"no",0.284,0.01525,5.33002609608044e-05,"propagule","incomplete"
"Aelurostrongylus falciformis","nematode",2,2,2,1,"no","1larv","int","no",0.3987,0.0303,0.000287489093873642,"1st","incomplete"
"Aelurostrongylus falciformis","nematode",2,2,2,2,"no","adult","def","no",NA,0.105,NA,"2nd","incomplete"
"Aelurostrongylus pridhami","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.261,0.012,2.95184045731297e-05,"propagule","incomplete"
"Aelurostrongylus pridhami","nematode",2,3,2.5,1,"no","1larv","int","yes",0.373,0.02,0.000117181405978899,"1st","incomplete"
"Aelurostrongylus pridhami","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Aelurostrongylus pridhami","nematode",2,3,2.5,3,"no","adult","def","yes",NA,0.16325,NA,"3rd","incomplete"
"Allodapa suctoria","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Allodapa suctoria","nematode",2,2,2,1,"no","1larv","int","no",0.631277777666667,0.102944444333333,0.00506046490788729,"1st","incomplete"
"Allodapa suctoria","nematode",2,2,2,2,"no","adult","def","no",11.8218,0.39375,1.52620580774468,"2nd","incomplete"
"Amidostomum acutum","nematode",1,1,1,0,NA,"free larva",NA,"no",0.577,0.0131666666666667,7.81793185827454e-05,"propagule","complete"
"Amidostomum acutum","nematode",1,1,1,1,"no","adult","def","no",13.1343833333333,0.133533333333333,0.195885105861634,"1st","complete"
"Amidostomum anseris","nematode",1,1,1,0,NA,"free larva",NA,"no",0.665,0.0155,0.000125480119322898,"propagule","complete"
"Amidostomum anseris","nematode",1,1,1,1,"no","adult","def","no",18.275,0.35,1.73180295029137,"1st","complete"
"Amidostomum fulicae","nematode",1,1,1,0,NA,"free larva",NA,"no",0.6435,0.01675,0.000141819051840366,"propagule","complete"
"Amidostomum fulicae","nematode",1,1,1,1,"no","adult","def","no",9.11666666666667,0.175,0.216475368786422,"1st","complete"
"Amirthalingamia macracantha","cestode",3,3,3,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Amirthalingamia macracantha","cestode",3,3,3,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Amirthalingamia macracantha","cestode",3,3,3,2,"no","2larv","int","no",3.4,1.55,6.41552489771206,"2nd","incomplete"
"Amirthalingamia macracantha","cestode",3,3,3,3,"no","adult","def","no",46,1.85,85.1,"3rd","incomplete"
"Amoebotaenia cuneata","cestode",2,2,2,0,NA,"embryo",NA,"no",0.019,0.019,0.000189019157990986,"propagule","complete"
"Amoebotaenia cuneata","cestode",2,2,2,1,"no","1larv","int","no",0.29,0.16,0.0192684349420174,"1st","complete"
"Amoebotaenia cuneata","cestode",2,2,2,2,"no","adult","def","no",2.75,0.9,2.43333333333333,"2nd","complete"
"Amphilina foliacea","cestode",2,2,2,0,NA,"embryo",NA,"no",0.1325,0.1225,0.00849866262642989,"propagule","complete"
"Amphilina foliacea","cestode",2,2,2,1,"no","1larv","int","no",2.41525,0.8265,2.33940825,"1st","complete"
"Amphilina foliacea","cestode",2,2,2,2,"no","adult","def","no",38.4166666666667,16.5833333333333,733.4375,"2nd","complete"
"Amplicaecum robertsi","nematode",2,3,2.5,0,NA,"embryo",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Amplicaecum robertsi","nematode",2,3,2.5,1,"paratenic","1larv","int","yes",0.451615384615385,NA,NA,"1st","incomplete"
"Amplicaecum robertsi","nematode",2,3,2.5,2,"no","2larv","int","yes",49.2272727272727,NA,NA,"2nd","incomplete"
"Amplicaecum robertsi","nematode",2,3,2.5,3,"no","adult","def","yes",129.5,0.925,100.128939229984,"3rd","incomplete"
"Ancyracanthopsis winegardi","nematode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Ancyracanthopsis winegardi","nematode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Ancyracanthopsis winegardi","nematode",2,2,2,2,"no","adult","def","no",10.4,0.115,0.108023663393685,"2nd","incomplete"
"Andersonstrongylus captivensis","nematode",1,1,1,0,NA,"free larva",NA,"no",NA,NA,NA,"propagule","incomplete"
"Andersonstrongylus captivensis","nematode",1,1,1,1,"no","adult","def","no",15.65,0.1525,0.285853760987061,"1st","incomplete"
"Angiostrongylus andersoni","nematode",2,2,2,0,NA,"free larva",NA,"no",0.3,0.015,5.30143760293278e-05,"propagule","incomplete"
"Angiostrongylus andersoni","nematode",2,2,2,1,"no","1larv","int","no",0.56,0.03,0.000395840674352314,"1st","incomplete"
"Angiostrongylus andersoni","nematode",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","incomplete"
"Angiostrongylus cantonensis","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.25835,0.013975,4.05754881032586e-05,"propagule","complete"
"Angiostrongylus cantonensis","nematode",2,3,2.5,1,"no","1larv","int","yes",0.467316666666667,0.0256333333333333,0.000241189285448934,"1st","complete"
"Angiostrongylus cantonensis","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",0.463,0.027,0.000265093085897051,"2nd","complete"
"Angiostrongylus cantonensis","nematode",2,3,2.5,3,"no","adult","def","yes",26.7533333333333,0.446666666666667,4.2517184000329,"3rd","complete"
"Angiostrongylus costaricensis","nematode",2,2,2,0,NA,"free larva",NA,"no",0.268,0.0145,4.4254830312956e-05,"propagule","complete"
"Angiostrongylus costaricensis","nematode",2,2,2,1,"no","1larv","int","no",0.471,0.028,0.000290019267408795,"1st","complete"
"Angiostrongylus costaricensis","nematode",2,2,2,2,"no","adult","def","no",29.85,0.25,1.73311161998113,"2nd","complete"
"Angiostrongylus dujardini","nematode",2,2,2,0,NA,"free larva",NA,"no",0.341,0.0145,5.63093176743209e-05,"propagule","complete"
"Angiostrongylus dujardini","nematode",2,2,2,1,"no","1larv","int","no",0.495,0.0305,0.000361655237542736,"1st","complete"
"Angiostrongylus dujardini","nematode",2,2,2,2,"no","adult","def","no",17.05,0.295,1.1679312476187,"2nd","complete"
"Angiostrongylus mackerrasae","nematode",2,2,2,0,NA,"free larva",NA,"no",0.2775,0.01475,4.76702324012602e-05,"propagule","complete"
"Angiostrongylus mackerrasae","nematode",2,2,2,1,"no","1larv","int","no",0.506,0.025,0.000248382169174443,"1st","complete"
"Angiostrongylus mackerrasae","nematode",2,2,2,2,"no","adult","def","no",25.75,0.39,3.07607081180836,"2nd","complete"
"Angiostrongylus malaysiensis","nematode",2,2,2,0,NA,"free larva",NA,"no",NA,NA,NA,"propagule","incomplete"
"Angiostrongylus malaysiensis","nematode",2,2,2,1,"no","1larv","int","no",0.35,0.03,0.000247400421470196,"1st","incomplete"
"Angiostrongylus malaysiensis","nematode",2,2,2,2,"no","adult","def","no",24.5,0.37,2.63426470994321,"2nd","incomplete"
"Angiostrongylus schmidti","nematode",2,2,2,0,NA,"free larva",NA,"no",0.282,0.016,5.66994642119886e-05,"propagule","complete"
"Angiostrongylus schmidti","nematode",2,2,2,1,"no","1larv","int","no",0.529,0.023,0.000219786607443305,"1st","complete"
"Angiostrongylus schmidti","nematode",2,2,2,2,"no","adult","def","no",23.1,0.355,2.28643346182398,"2nd","complete"
"Angiostrongylus siamensis","nematode",2,2,2,0,NA,"free larva",NA,"no",NA,NA,NA,"propagule","all missing"
"Angiostrongylus siamensis","nematode",2,2,2,1,"no","1larv","int","no",0.514,NA,NA,"1st","all missing"
"Angiostrongylus siamensis","nematode",2,2,2,2,"no","adult","def","no",12.65,NA,NA,"2nd","all missing"
"Angiostrongylus vasorum","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.35,0.015,6.1850105367549e-05,"propagule","incomplete"
"Angiostrongylus vasorum","nematode",2,3,2.5,1,"no","1larv","int","yes",0.54449,0.02948,0.000374773381889622,"1st","incomplete"
"Angiostrongylus vasorum","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Angiostrongylus vasorum","nematode",2,3,2.5,3,"no","adult","def","yes",16.435,0.26,0.789491658625076,"3rd","incomplete"
"Anguillicola crassus","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.251,0.01942,7.61714089081116e-05,"propagule","complete"
"Anguillicola crassus","nematode",2,3,2.5,1,"no","1larv","int","yes",0.762,0.0349,0.000765999614159695,"1st","complete"
"Anguillicola crassus","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",0.958125,0.0406666666666667,0.00131264092467452,"2nd","complete"
"Anguillicola crassus","nematode",2,3,2.5,3,"no","adult","def","yes",24.4435714285714,2.28475,124.904302889901,"3rd","complete"
"Anguillicola globiceps","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.312,0.0225,0.000136777090155666,"propagule","incomplete"
"Anguillicola globiceps","nematode",2,3,2.5,1,"no","1larv","int","yes",0.89,0.039,0.00106318563980949,"1st","incomplete"
"Anguillicola globiceps","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Anguillicola globiceps","nematode",2,3,2.5,3,"no","adult","def","yes",48.78,1.645,109.086682529084,"3rd","incomplete"
"Anguillicola novaezelandiae","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.2115,0.015,3.73751351006761e-05,"propagule","incomplete"
"Anguillicola novaezelandiae","nematode",2,3,2.5,1,"no","1larv","int","yes",0.813,0.039,0.000971202163106873,"1st","incomplete"
"Anguillicola novaezelandiae","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Anguillicola novaezelandiae","nematode",2,3,2.5,3,"no","adult","def","yes",14.6711666666667,1.24066666666667,23.0020469244982,"3rd","incomplete"
"Anguillicola papernai","nematode",2,3,2.5,0,NA,"free larva",NA,"yes",0.1845,0.018,4.69495314115727e-05,"propagule","incomplete"
"Anguillicola papernai","nematode",2,3,2.5,1,"no","1larv","int","yes",0.7665,0.036,0.000780201969148411,"1st","incomplete"
"Anguillicola papernai","nematode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Anguillicola papernai","nematode",2,3,2.5,3,"no","adult","def","yes",22.235,2.41,101.428756304347,"3rd","incomplete"
"Anisakis berlandi","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","all missing"
"Anisakis berlandi","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","all missing"
"Anisakis berlandi","nematode",2,4,3,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","all missing"
"Anisakis berlandi","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","all missing"
"Anisakis berlandi","nematode",2,4,3,4,"no","adult","def","yes",48.25,NA,NA,"4th","all missing"
"Anisakis brevispiculata","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis brevispiculata","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Anisakis brevispiculata","nematode",2,4,3,2,"paratenic","2larv","int","yes",30.535,0.85,17.3513193894675,"2nd","incomplete"
"Anisakis brevispiculata","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis brevispiculata","nematode",2,4,3,4,"no","adult","def","yes",33.6,1.1,31.9311477310867,"4th","incomplete"
"Anisakis nascettii","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis nascettii","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Anisakis nascettii","nematode",2,4,3,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Anisakis nascettii","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis nascettii","nematode",2,4,3,4,"no","adult","def","yes",109.75,3,844.695724733956,"4th","incomplete"
"Anisakis paggiae","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis paggiae","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Anisakis paggiae","nematode",2,4,3,2,"paratenic","2larv","int","yes",19.16,0.52,4.09041646682698,"2nd","incomplete"
"Anisakis paggiae","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis paggiae","nematode",2,4,3,4,"no","adult","def","yes",39.5,NA,NA,"4th","incomplete"
"Anisakis pegreffii","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis pegreffii","nematode",2,4,3,1,"no","1larv","int","yes",19.03,NA,NA,"1st","incomplete"
"Anisakis pegreffii","nematode",2,4,3,2,"paratenic","2larv","int","yes",21.1966666666667,0.433333333333333,3.10663039254677,"2nd","incomplete"
"Anisakis pegreffii","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis pegreffii","nematode",2,4,3,4,"no","adult","def","yes",NA,NA,NA,"4th","incomplete"
"Anisakis physeteris","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis physeteris","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Anisakis physeteris","nematode",2,4,3,2,"paratenic","2larv","int","yes",27.1125,0.649625,9.13856658394571,"2nd","incomplete"
"Anisakis physeteris","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis physeteris","nematode",2,4,3,4,"no","adult","def","yes",96,4.25,1361.88041533118,"4th","incomplete"
"Anisakis simplex","nematode",2,4,3,0,NA,"free larva",NA,"yes",0.25,NA,NA,"propagule","incomplete"
"Anisakis simplex","nematode",2,4,3,1,"no","1larv","int","yes",21.189375,0.411666666666667,2.94569154236681,"1st","incomplete"
"Anisakis simplex","nematode",2,4,3,2,"paratenic","2larv","int","yes",24.3663636363636,0.558428571428571,6.30968287406675,"2nd","incomplete"
"Anisakis simplex","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis simplex","nematode",2,4,3,4,"no","adult","def","yes",139.5,2.475,671.142120140279,"4th","incomplete"
"Anisakis typica","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis typica","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Anisakis typica","nematode",2,4,3,2,"paratenic","2larv","int","yes",19.31,0.45,3.07112280337896,"2nd","incomplete"
"Anisakis typica","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis typica","nematode",2,4,3,4,"no","adult","def","yes",63.5,1.75,152.735399088198,"4th","incomplete"
"Anisakis ziphidarum","nematode",2,4,3,0,NA,"free larva",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Anisakis ziphidarum","nematode",2,4,3,1,"no","1larv","int","yes",NA,NA,NA,"1st","incomplete"
"Anisakis ziphidarum","nematode",2,4,3,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
"Anisakis ziphidarum","nematode",2,4,3,3,"paratenic","3larv","int","yes",NA,NA,NA,"3rd","incomplete"
"Anisakis ziphidarum","nematode",2,4,3,4,"no","adult","def","yes",200,2.59,1053.70588397728,"4th","incomplete"
"Anomotaenia brevis","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Anomotaenia brevis","cestode",2,2,2,1,"no","1larv","int","no",0.24,0.14,0.0175929188601028,"1st","incomplete"
"Anomotaenia brevis","cestode",2,2,2,2,"no","adult","def","no",2.4,0.35,0.84,"2nd","incomplete"
"Anomotaenia clavigera","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Anomotaenia clavigera","cestode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","incomplete"
"Anomotaenia clavigera","cestode",2,2,2,2,"no","adult","def","no",90,1,90,"2nd","incomplete"
"Anomotaenia constricta","cestode",2,2,2,0,NA,"embryo",NA,"no",0.042,0.0385,0.000846659220142449,"propagule","complete"
"Anomotaenia constricta","cestode",2,2,2,1,"no","1larv","int","no",0.825,0.825,0.356374416641592,"1st","complete"
"Anomotaenia constricta","cestode",2,2,2,2,"no","adult","def","no",91.6666666666667,2.28333333333333,217.666666666667,"2nd","complete"
"Anomotaenia pyriformis","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Anomotaenia pyriformis","cestode",2,2,2,1,"no","1larv","int","no",0.65,0.5,0.170169602069447,"1st","incomplete"
"Anomotaenia pyriformis","cestode",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","incomplete"
"Anomotaenia tringae","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","incomplete"
"Anomotaenia tringae","cestode",2,2,2,1,"no","1larv","int","no",0.131,0.093,0.00637900388311407,"1st","incomplete"
"Anomotaenia tringae","cestode",2,2,2,2,"no","adult","def","no",NA,NA,NA,"2nd","incomplete"
"Anoplocephala magna","cestode",2,2,2,0,NA,"embryo",NA,"no",0.0141,NA,NA,"propagule","incomplete"
"Anoplocephala magna","cestode",2,2,2,1,"no","1larv","int","no",0.1398,0.1301,0.00952320405860635,"1st","incomplete"
"Anoplocephala magna","cestode",2,2,2,2,"no","adult","def","no",395,25,8750,"2nd","incomplete"
"Anoplocephala manubriata","cestode",2,2,2,0,NA,"embryo",NA,"no",NA,NA,NA,"propagule","all missing"
"Anoplocephala manubriata","cestode",2,2,2,1,"no","1larv","int","no",NA,NA,NA,"1st","all missing"
